"ID";"Sex";"Age";"Periods";"k_11Tuberculosis_3";"k_12CerebrospinalInfection_4";"k_13ViralHepatitis_5";"k_14AIDS_6";"k_15OtherInfectAndParasiticDiseases_7";"k_61Meningitis_40";"TotalDiseasesOfTheRespiratorySystem_50";"k_81Influenza_51";"k_82Pneumonia_52";"TotalCongenitalAnomalies_72";"k_151OfTheNervousSystem_73";"k_152OfTheCirculatorySystem_74";"k_181ConfirmedCOVID19_94"
"1656";"3000   ";"10010";"1950JJ00";"      10";"      12";"       0";"";"      89";"      36";"     216";"      14";"     175";"     555";"     170";"     209";""
"1657";"3000   ";"10010";"1951JJ00";"       9";"      11";"       1";"";"      99";"      30";"     238";"      18";"     191";"     590";"     176";"     245";""
"1658";"3000   ";"10010";"1952JJ00";"       9";"      20";"       2";"";"      64";"      27";"     185";"      17";"     137";"     568";"     180";"     213";""
"1659";"3000   ";"10010";"1953JJ00";"       3";"      12";"       2";"";"      56";"      26";"     168";"      20";"     123";"     585";"     171";"     246";""
"1660";"3000   ";"10010";"1954JJ00";"       5";"      10";"       0";"";"      31";"      41";"     135";"       4";"     111";"     581";"     206";"     220";""
"1661";"3000   ";"10010";"1955JJ00";"       4";"      11";"       1";"";"      26";"      32";"     150";"      14";"     113";"     582";"     188";"     212";""
"1662";"3000   ";"10010";"1956JJ00";"       4";"      10";"       1";"";"      37";"      37";"     143";"       4";"     114";"     568";"     175";"     215";""
"1663";"3000   ";"10010";"1957JJ00";"       1";"      11";"       1";"";"      23";"      32";"     141";"      18";"      97";"     528";"     126";"     237";""
"1664";"3000   ";"10010";"1958JJ00";"       0";"       8";"       1";"";"      27";"      29";"     132";"      20";"      92";"     562";"     150";"     265";""
"1665";"3000   ";"10010";"1959JJ00";"       0";"       9";"       0";"";"      23";"      37";"     117";"      19";"      81";"     554";"     140";"     258";""
"1666";"3000   ";"10010";"1960JJ00";"       0";"       1";"       1";"";"      12";"      32";"      89";"      13";"      58";"     546";"     148";"     236";""
"1667";"3000   ";"10010";"1961JJ00";"       0";"       6";"       1";"";"      11";"      30";"      82";"       2";"      57";"     533";"     130";"     259";""
"1668";"3000   ";"10010";"1962JJ00";"       0";"       9";"       0";"";"      11";"      37";"      74";"       6";"      49";"     575";"     130";"     290";""
"1669";"3000   ";"10010";"1963JJ00";"       0";"       1";"       1";"";"       9";"      34";"      76";"      10";"      48";"     533";"     108";"     279";""
"1670";"3000   ";"10010";"1964JJ00";"       0";"       2";"       0";"";"      14";"      36";"      50";"       5";"      27";"     504";"     125";"     239";""
"1671";"3000   ";"10010";"1965JJ00";"       0";"       4";"       0";"";"       7";"      22";"      55";"       1";"      35";"     443";"      93";"     235";""
"1672";"3000   ";"10010";"1966JJ00";"       0";"       7";"       0";"";"      13";"      42";"      60";"       3";"      34";"     492";"     121";"     243";""
"1673";"3000   ";"10010";"1967JJ00";"       0";"       4";"       0";"";"       8";"      24";"      34";"       5";"      20";"     416";"      94";"     215";""
"1674";"3000   ";"10010";"1968JJ00";"       0";"       5";"       0";"";"      10";"      26";"      49";"       3";"      33";"     476";"     113";"     231";""
"1675";"3000   ";"10010";"1969JJ00";"       0";"      10";"       0";"";"      45";"      26";"      38";"       2";"      21";"     507";"      99";"     240";""
"1676";"3000   ";"10010";"1970JJ00";"       0";"      11";"       0";"";"      52";"      25";"      39";"       4";"      28";"     464";"      89";"     216";""
"1677";"3000   ";"10010";"1971JJ00";"       0";"       2";"       0";"";"      53";"      25";"      29";"       1";"      19";"     442";"      77";"     251";""
"1678";"3000   ";"10010";"1972JJ00";"       0";"      10";"       0";"";"      41";"      28";"      42";"       3";"      21";"     338";"      66";"     164";""
"1679";"3000   ";"10010";"1973JJ00";"       0";"       4";"       1";"";"      41";"      12";"      31";"       0";"      12";"     327";"      70";"     157";""
"1680";"3000   ";"10010";"1974JJ00";"       0";"       6";"       0";"";"      43";"      21";"      39";"       4";"      20";"     281";"      68";"     142";""
"1681";"3000   ";"10010";"1975JJ00";"       0";"       2";"       0";"";"      29";"      22";"      30";"       1";"      19";"     261";"      61";"     118";""
"1682";"3000   ";"10010";"1976JJ00";"       0";"       3";"       0";"";"      35";"      29";"      21";"       0";"      14";"     289";"      56";"     146";""
"1683";"3000   ";"10010";"1977JJ00";"       1";"       0";"       0";"";"      42";"      16";"      22";"       0";"      16";"     276";"      67";"     103";""
"1684";"3000   ";"10010";"1978JJ00";"       1";"       3";"       0";"";"      32";"      27";"      20";"       1";"      15";"     290";"      60";"     123";""
"1685";"3000   ";"10010";"1979JJ00";"       1";"       1";"       0";"       0";"      14";"      12";"      11";"       0";"       6";"     271";"      54";"     121";""
"1686";"3000   ";"10010";"1980JJ00";"       0";"       1";"       0";"       0";"      10";"       9";"      33";"       0";"      13";"     252";"      42";"      98";""
"1687";"3000   ";"10010";"1981JJ00";"       0";"       1";"       0";"       0";"       5";"       4";"      22";"       0";"      13";"     290";"      45";"     110";""
"1688";"3000   ";"10010";"1982JJ00";"       0";"       2";"       1";"       0";"      10";"       7";"      21";"       0";"       8";"     268";"      46";"     111";""
"1689";"3000   ";"10010";"1983JJ00";"       0";"       1";"       0";"       0";"       9";"       6";"       8";"       0";"       3";"     265";"      38";"     115";""
"1690";"3000   ";"10010";"1984JJ00";"       0";"       1";"       0";"       0";"       8";"       6";"      19";"       0";"       8";"     270";"      52";"     102";""
"1691";"3000   ";"10010";"1985JJ00";"       0";"       4";"       0";"       0";"       7";"       6";"      34";"       1";"      14";"     258";"      31";"      94";""
"1692";"3000   ";"10010";"1986JJ00";"       1";"       3";"       0";"       0";"      10";"       8";"      32";"       0";"      16";"     247";"      38";"      95";""
"1693";"3000   ";"10010";"1987JJ00";"       0";"       3";"       0";"       0";"      11";"       7";"      21";"       0";"      13";"     279";"      40";"     102";""
"1694";"3000   ";"10010";"1988JJ00";"       0";"       5";"       2";"       1";"       4";"       8";"      15";"       0";"      10";"     240";"      41";"      79";""
"1695";"3000   ";"10010";"1989JJ00";"       0";"       6";"       0";"       0";"       5";"       5";"      21";"       0";"      10";"     201";"      33";"      80";""
"1696";"3000   ";"10010";"1990JJ00";"       0";"       1";"       0";"       0";"      11";"       5";"      14";"       0";"       5";"     266";"      38";"     103";""
"1697";"3000   ";"10010";"1991JJ00";"       0";"       6";"       0";"       0";"       9";"       5";"      10";"       0";"       7";"     279";"      45";"     100";""
"1698";"3000   ";"10010";"1992JJ00";"       0";"       3";"       0";"       0";"       6";"      10";"      10";"       1";"       7";"     239";"      33";"      86";""
"1699";"3000   ";"10010";"1993JJ00";"       0";"      10";"       0";"       0";"       2";"       1";"       7";"       0";"       5";"     259";"      39";"      87";""
"1700";"3000   ";"10010";"1994JJ00";"       0";"       5";"       0";"       0";"       3";"       9";"      10";"       0";"       5";"     224";"      33";"      87";""
"1701";"3000   ";"10010";"1995JJ00";"       0";"       6";"       1";"       1";"       4";"       7";"       8";"       0";"       5";"     191";"      34";"      64";""
"1702";"3000   ";"10010";"1996JJ00";"       0";"       5";"       0";"       2";"       8";"       3";"       6";"       0";"       5";"     193";"      29";"      68";""
"1703";"3000   ";"10010";"1997JJ00";"       0";"       5";"       0";"       1";"       8";"       1";"       4";"       1";"       2";"     205";"      25";"      66";""
"1704";"3000   ";"10010";"1998JJ00";"       0";"       8";"       0";"       0";"      16";"       2";"       4";"       0";"       4";"     202";"      29";"      64";""
"1705";"3000   ";"10010";"1999JJ00";"       0";"       5";"       0";"       0";"       6";"       3";"       5";"       1";"       2";"     178";"      34";"      52";""
"1706";"3000   ";"10010";"2000JJ00";"       0";"       6";"       0";"       0";"       6";"       4";"       8";"       0";"       5";"     190";"      25";"      62";""
"1707";"3000   ";"10010";"2001JJ00";"       0";"       2";"       0";"       0";"      12";"       3";"       3";"       0";"       3";"     201";"      33";"      57";""
"1708";"3000   ";"10010";"2002JJ00";"       0";"       3";"       0";"       0";"       3";"       4";"       1";"       0";"       0";"     168";"      22";"      55";""
"1709";"3000   ";"10010";"2003JJ00";"       0";"       6";"       0";"       0";"       7";"       8";"       5";"       0";"       1";"     193";"      25";"      68";""
"1710";"3000   ";"10010";"2004JJ00";"       0";"       0";"       0";"       0";"       3";"       4";"       5";"       0";"       1";"     165";"      20";"      53";""
"1711";"3000   ";"10010";"2005JJ00";"       0";"       1";"       0";"       0";"       4";"       6";"       8";"       0";"       3";"     139";"      15";"      53";""
"1712";"3000   ";"10010";"2006JJ00";"       0";"       1";"       0";"       0";"      10";"       1";"       4";"       0";"       2";"     157";"      16";"      68";""
"1713";"3000   ";"10010";"2007JJ00";"       0";"       2";"       0";"       0";"       4";"       2";"       4";"       0";"       3";"     109";"      13";"      31";""
"1714";"3000   ";"10010";"2008JJ00";"       0";"       0";"       0";"       0";"       7";"       2";"       2";"       0";"       1";"      93";"       8";"      29";""
"1715";"3000   ";"10010";"2009JJ00";"       0";"       1";"       0";"       0";"       2";"       1";"       6";"       1";"       4";"     113";"      13";"      35";""
"1716";"3000   ";"10010";"2010JJ00";"       0";"       1";"       0";"       0";"       2";"       3";"       4";"       0";"       3";"     108";"      13";"      30";""
"1717";"3000   ";"10010";"2011JJ00";"       0";"       2";"       0";"       0";"       2";"       4";"       2";"       0";"       1";"     107";"      15";"      31";""
"1718";"3000   ";"10010";"2012JJ00";"       0";"       0";"       0";"       0";"       5";"       3";"       3";"       0";"       1";"      96";"       9";"      37";""
"1719";"3000   ";"10010";"2013JJ00";"       1";"       0";"       0";"       0";"       3";"       2";"       1";"       0";"       0";"      81";"      14";"      26";""
"1720";"3000   ";"10010";"2014JJ00";"       0";"       0";"       0";"       0";"       3";"       2";"       0";"       0";"       0";"      91";"      13";"      22";""
"1721";"3000   ";"10010";"2015JJ00";"       0";"       0";"       0";"       0";"       2";"       2";"       3";"       0";"       1";"      82";"      11";"      21";""
"1722";"3000   ";"10010";"2016JJ00";"       0";"       0";"       0";"       0";"       0";"       1";"       2";"       0";"       0";"      78";"      15";"      25";""
"1723";"3000   ";"10010";"2017JJ00";"       0";"       1";"       0";"       0";"       3";"       3";"       3";"       0";"       1";"      83";"       9";"      34";""
"1724";"3000   ";"10010";"2018JJ00";"       0";"       0";"       0";"       0";"      10";"       3";"       0";"       0";"       0";"      85";"      10";"      23";""
"1725";"3000   ";"10010";"2019JJ00";"       0";"       0";"       0";"       0";"       5";"       2";"       2";"       0";"       1";"      99";"      12";"      19";""
"1726";"3000   ";"10010";"2020JJ00";"       0";"       0";"       0";"       0";"       3";"       1";"       2";"       0";"       0";"      80";"      13";"      18";"       1"
"1727";"3000   ";"10010";"2021JJ00";"       0";"       0";"       0";"       0";"       6";"       2";"       1";"       0";"       0";"      77";"       6";"      24";"       0"
"1728";"3000   ";"51300";"1950JJ00";"      40";"      17";"       0";"";"     153";"      24";"      81";"       8";"      54";"      61";"      21";"      30";""
"1729";"3000   ";"51300";"1951JJ00";"      33";"      13";"       5";"";"     164";"      11";"     102";"      11";"      64";"      73";"      18";"      33";""
"1730";"3000   ";"51300";"1952JJ00";"      25";"      11";"       2";"";"     112";"      20";"      94";"      17";"      44";"      74";"      25";"      25";""
"1731";"3000   ";"51300";"1953JJ00";"      10";"      14";"       1";"";"      89";"      10";"      98";"      13";"      58";"      77";"      19";"      34";""
"1732";"3000   ";"51300";"1954JJ00";"       6";"      17";"       3";"";"      40";"      10";"      98";"       5";"      56";"      69";"      22";"      28";""
"1733";"3000   ";"51300";"1955JJ00";"       3";"       8";"       0";"";"      53";"      13";"      92";"      12";"      47";"      57";"      17";"      28";""
"1734";"3000   ";"51300";"1956JJ00";"       5";"       8";"       0";"";"      54";"       8";"      69";"       9";"      32";"      67";"      23";"      24";""
"1735";"3000   ";"51300";"1957JJ00";"       1";"      16";"       0";"";"      27";"      14";"      69";"      24";"      24";"      72";"      27";"      31";""
"1736";"3000   ";"51300";"1958JJ00";"       1";"       3";"       1";"";"      41";"      18";"      71";"      10";"      28";"      82";"      24";"      40";""
"1737";"3000   ";"51300";"1959JJ00";"       3";"      13";"       1";"";"      38";"      13";"      94";"      14";"      41";"      77";"      26";"      38";""
"1738";"3000   ";"51300";"1960JJ00";"       2";"      10";"       3";"";"      19";"       6";"      68";"       8";"      31";"      74";"      26";"      34";""
"1739";"3000   ";"51300";"1961JJ00";"       0";"       3";"       2";"";"      14";"       6";"      56";"       2";"      31";"      87";"      35";"      33";""
"1740";"3000   ";"51300";"1962JJ00";"       1";"       6";"       1";"";"      15";"      11";"      56";"       9";"      23";"      96";"      35";"      41";""
"1741";"3000   ";"51300";"1963JJ00";"       1";"       9";"       1";"";"      16";"       8";"      57";"       5";"      25";"      64";"      19";"      31";""
"1742";"3000   ";"51300";"1964JJ00";"       0";"       2";"       0";"";"      20";"       8";"      42";"       2";"      16";"      67";"      25";"      25";""
"1743";"3000   ";"51300";"1965JJ00";"       0";"       9";"       1";"";"      15";"       5";"      60";"       1";"      18";"      58";"      23";"      25";""
"1744";"3000   ";"51300";"1966JJ00";"       0";"      12";"       1";"";"       9";"       9";"      63";"       5";"      24";"      53";"      14";"      26";""
"1745";"3000   ";"51300";"1967JJ00";"       0";"      15";"       0";"";"      11";"      12";"      35";"       2";"       6";"      67";"      27";"      26";""
"1746";"3000   ";"51300";"1968JJ00";"       0";"      12";"       1";"";"      18";"       8";"      35";"       3";"       9";"      54";"      21";"      20";""
"1747";"3000   ";"51300";"1969JJ00";"       1";"       7";"       0";"";"      30";"       6";"      38";"       3";"       8";"      69";"      17";"      36";""
"1748";"3000   ";"51300";"1970JJ00";"       1";"      11";"       0";"";"      24";"       8";"      39";"       3";"       9";"      57";"      26";"      22";""
"1749";"3000   ";"51300";"1971JJ00";"       0";"       7";"       0";"";"      20";"       4";"      43";"       2";"      15";"      74";"      20";"      36";""
"1750";"3000   ";"51300";"1972JJ00";"       0";"       6";"       0";"";"      24";"       5";"      40";"       4";"      13";"      57";"      18";"      27";""
"1751";"3000   ";"51300";"1973JJ00";"       2";"       9";"       0";"";"      27";"       5";"      41";"       3";"      11";"      65";"      17";"      33";""
"1752";"3000   ";"51300";"1974JJ00";"       0";"       8";"       0";"";"      22";"       7";"      33";"       3";"      10";"      56";"      21";"      24";""
"1753";"3000   ";"51300";"1975JJ00";"       0";"       4";"       0";"";"      11";"       3";"      27";"       1";"       8";"      53";"      10";"      29";""
"1754";"3000   ";"51300";"1976JJ00";"       0";"       2";"       0";"";"      13";"       1";"      19";"       2";"       7";"      35";"      13";"      15";""
"1755";"3000   ";"51300";"1977JJ00";"       0";"       1";"       1";"";"       8";"       6";"      18";"       0";"       6";"      32";"       7";"      13";""
"1756";"3000   ";"51300";"1978JJ00";"       0";"       5";"       0";"";"      11";"       6";"       8";"       0";"       3";"      38";"      11";"      20";""
"1757";"3000   ";"51300";"1979JJ00";"       0";"       5";"       0";"       0";"       3";"       3";"      19";"       0";"       5";"      41";"      12";"      18";""
"1758";"3000   ";"51300";"1980JJ00";"       0";"       3";"       0";"       0";"       9";"       2";"      15";"       0";"       4";"      21";"       6";"       9";""
"1759";"3000   ";"51300";"1981JJ00";"       1";"       1";"       0";"       0";"       4";"       1";"      19";"       0";"       5";"      31";"       8";"      14";""
"1760";"3000   ";"51300";"1982JJ00";"       0";"       5";"       0";"       0";"       2";"       1";"      11";"       1";"       6";"      31";"       5";"      17";""
"1761";"3000   ";"51300";"1983JJ00";"       0";"       1";"       0";"       0";"       1";"       4";"      15";"       0";"       3";"      23";"       3";"       8";""
"1762";"3000   ";"51300";"1984JJ00";"       0";"       2";"       0";"       0";"       0";"       6";"       7";"       0";"       4";"      33";"      12";"       8";""
"1763";"3000   ";"51300";"1985JJ00";"       0";"       3";"       1";"       0";"       3";"       4";"      10";"       0";"       4";"      26";"       4";"      10";""
"1764";"3000   ";"51300";"1986JJ00";"       0";"       3";"       1";"       0";"       7";"       4";"      12";"       0";"       3";"      22";"       4";"      11";""
"1765";"3000   ";"51300";"1987JJ00";"       0";"       7";"       0";"       0";"       1";"       7";"      15";"       0";"       4";"      26";"       6";"       9";""
"1766";"3000   ";"51300";"1988JJ00";"       0";"       7";"       0";"       0";"       5";"       4";"       8";"       0";"       1";"      24";"       4";"       7";""
"1767";"3000   ";"51300";"1989JJ00";"       0";"       6";"       0";"       0";"       2";"       3";"      13";"       0";"       2";"      30";"       7";"      12";""
"1768";"3000   ";"51300";"1990JJ00";"       0";"      10";"       0";"       0";"       8";"       4";"       8";"       1";"       1";"      19";"       3";"      11";""
"1769";"3000   ";"51300";"1991JJ00";"       0";"      10";"       0";"       1";"       4";"       2";"       9";"       0";"       2";"      39";"       6";"      17";""
"1770";"3000   ";"51300";"1992JJ00";"       0";"      11";"       1";"       1";"       6";"       3";"       6";"       0";"       0";"      27";"       8";"      11";""
"1771";"3000   ";"51300";"1993JJ00";"       1";"       8";"       0";"       0";"       3";"       2";"       5";"       0";"       1";"      25";"       6";"      10";""
"1772";"3000   ";"51300";"1994JJ00";"       0";"       5";"       0";"       0";"       2";"       2";"       6";"       0";"       1";"      35";"       5";"      22";""
"1773";"3000   ";"51300";"1995JJ00";"       0";"       6";"       0";"       0";"       7";"       5";"       4";"       0";"       1";"      27";"       4";"      11";""
"1774";"3000   ";"51300";"1996JJ00";"       0";"       9";"       0";"       1";"       7";"       0";"       7";"       1";"       4";"      22";"       4";"       7";""
"1775";"3000   ";"51300";"1997JJ00";"       1";"       8";"       0";"       1";"       4";"       4";"       5";"       1";"       2";"      13";"       1";"       8";""
"1776";"3000   ";"51300";"1998JJ00";"       1";"      15";"       0";"       0";"       9";"       0";"       9";"       1";"       5";"      14";"       1";"       7";""
"1777";"3000   ";"51300";"1999JJ00";"       0";"       8";"       1";"       0";"       1";"       2";"       6";"       0";"       3";"      21";"       5";"       9";""
"1778";"3000   ";"51300";"2000JJ00";"       0";"       7";"       0";"       0";"       4";"       1";"       6";"       0";"       4";"      13";"       1";"       4";""
"1779";"3000   ";"51300";"2001JJ00";"       0";"       9";"       0";"       0";"       4";"       2";"      11";"       1";"       7";"      16";"       1";"       7";""
"1780";"3000   ";"51300";"2002JJ00";"       0";"       9";"       0";"       0";"       4";"       2";"       5";"       0";"       2";"      15";"       4";"       1";""
"1781";"3000   ";"51300";"2003JJ00";"       0";"       5";"       0";"       0";"       3";"       1";"       4";"       0";"       2";"      11";"       2";"       6";""
"1782";"3000   ";"51300";"2004JJ00";"       0";"       2";"       0";"       0";"       5";"       0";"       5";"       0";"       2";"      12";"       2";"       2";""
"1783";"3000   ";"51300";"2005JJ00";"       0";"       1";"       0";"       0";"       2";"       2";"       3";"       0";"       1";"      15";"       3";"       7";""
"1784";"3000   ";"51300";"2006JJ00";"       0";"       0";"       0";"       0";"       6";"       2";"       9";"       0";"       4";"       8";"       0";"       3";""
"1785";"3000   ";"51300";"2007JJ00";"       0";"       1";"       0";"       0";"       3";"       0";"       2";"       0";"       1";"      12";"       1";"       6";""
"1786";"3000   ";"51300";"2008JJ00";"       0";"       1";"       0";"       0";"       7";"       0";"       5";"       0";"       1";"       6";"       1";"       0";""
"1787";"3000   ";"51300";"2009JJ00";"       0";"       1";"       0";"       0";"       3";"       1";"       5";"       0";"       3";"       5";"       1";"       1";""
"1788";"3000   ";"51300";"2010JJ00";"       0";"       0";"       0";"       0";"       2";"       1";"       5";"       0";"       2";"      12";"       2";"       6";""
"1789";"3000   ";"51300";"2011JJ00";"       0";"       0";"       0";"       0";"       5";"       0";"       3";"       0";"       1";"       6";"       1";"       1";""
"1790";"3000   ";"51300";"2012JJ00";"       0";"       1";"       0";"       0";"       1";"       1";"       6";"       0";"       4";"      12";"       2";"       1";""
"1791";"3000   ";"51300";"2013JJ00";"       0";"       0";"       0";"       0";"       3";"       0";"       2";"       0";"       0";"       3";"       1";"       1";""
"1792";"3000   ";"51300";"2014JJ00";"       0";"       1";"       0";"       0";"       3";"       1";"       2";"       0";"       0";"       4";"       0";"       1";""
"1793";"3000   ";"51300";"2015JJ00";"       0";"       0";"       0";"       0";"       1";"       0";"       1";"       0";"       0";"       5";"       1";"       3";""
"1794";"3000   ";"51300";"2016JJ00";"       0";"       1";"       0";"       0";"       9";"       2";"       1";"       0";"       0";"       8";"       0";"       1";""
"1795";"3000   ";"51300";"2017JJ00";"       0";"       1";"       0";"       0";"       2";"       0";"       2";"       1";"       0";"       4";"       0";"       2";""
"1796";"3000   ";"51300";"2018JJ00";"       0";"       2";"       0";"       0";"       7";"       2";"       1";"       0";"       0";"       3";"       0";"       0";""
"1797";"3000   ";"51300";"2019JJ00";"       0";"       0";"       0";"       0";"       4";"       0";"       1";"       0";"       0";"       8";"       2";"       2";""
"1798";"3000   ";"51300";"2020JJ00";"       0";"       0";"       0";"       0";"       1";"       1";"       1";"       0";"       0";"       6";"       0";"       4";"       0"
"1799";"3000   ";"51300";"2021JJ00";"       0";"       0";"       0";"       0";"       1";"       1";"       3";"       0";"       1";"       3";"       0";"       1";"       0"
"1800";"3000   ";"70200";"1950JJ00";"      16";"       1";"       0";"";"      38";"       4";"      15";"       1";"       6";"      18";"       6";"      10";""
"1801";"3000   ";"70200";"1951JJ00";"      24";"       2";"       2";"";"      54";"       1";"      24";"       2";"      13";"      14";"       3";"       6";""
"1802";"3000   ";"70200";"1952JJ00";"       9";"       1";"       1";"";"      42";"       3";"      18";"       4";"       7";"      21";"       6";"       8";""
"1803";"3000   ";"70200";"1953JJ00";"       7";"       1";"       5";"";"      47";"       1";"      18";"       3";"      12";"      21";"       4";"      13";""
"1804";"3000   ";"70200";"1954JJ00";"       2";"       2";"       2";"";"      25";"       1";"      19";"       2";"       8";"      24";"       8";"      13";""
"1805";"3000   ";"70200";"1955JJ00";"       6";"       1";"       1";"";"      27";"       2";"      20";"       5";"       8";"      21";"       7";"      10";""
"1806";"3000   ";"70200";"1956JJ00";"       1";"       3";"       1";"";"      30";"       0";"      15";"       3";"       6";"      24";"       5";"      12";""
"1807";"3000   ";"70200";"1957JJ00";"       2";"       1";"       0";"";"      17";"       1";"      42";"      23";"      12";"      29";"       9";"      13";""
"1808";"3000   ";"70200";"1958JJ00";"       0";"       2";"       0";"";"      18";"       1";"      12";"       2";"       4";"      19";"       5";"      11";""
"1809";"3000   ";"70200";"1959JJ00";"       1";"       1";"       3";"";"      20";"       3";"      33";"      11";"      12";"      21";"       4";"      12";""
"1810";"3000   ";"70200";"1960JJ00";"       0";"       0";"       8";"";"       7";"       3";"      11";"       3";"       4";"      32";"       8";"      12";""
"1811";"3000   ";"70200";"1961JJ00";"       0";"       1";"       1";"";"       8";"       2";"      11";"       2";"       4";"      24";"       6";"      13";""
"1812";"3000   ";"70200";"1962JJ00";"       0";"       1";"       0";"";"       4";"       3";"      16";"       3";"       9";"      28";"       8";"      13";""
"1813";"3000   ";"70200";"1963JJ00";"       0";"       2";"       0";"";"       6";"       2";"      14";"       1";"       6";"      29";"       8";"      18";""
"1814";"3000   ";"70200";"1964JJ00";"       0";"       3";"       1";"";"       7";"       3";"       4";"       1";"       2";"      37";"       8";"      19";""
"1815";"3000   ";"70200";"1965JJ00";"       1";"       1";"       2";"";"       1";"       3";"      10";"       1";"       6";"      24";"       4";"       8";""
"1816";"3000   ";"70200";"1966JJ00";"       0";"       2";"       0";"";"       3";"       1";"      15";"       5";"       5";"      29";"       5";"      21";""
"1817";"3000   ";"70200";"1967JJ00";"       0";"       2";"       0";"";"       0";"       0";"       8";"       0";"       5";"      40";"       9";"      24";""
"1818";"3000   ";"70200";"1968JJ00";"       1";"       0";"       0";"";"       6";"       1";"      11";"       1";"       2";"      34";"      11";"      17";""
"1819";"3000   ";"70200";"1969JJ00";"       0";"       0";"       0";"";"       9";"       1";"      13";"       4";"       6";"      29";"       4";"      18";""
"1820";"3000   ";"70200";"1970JJ00";"       1";"       0";"       0";"";"       5";"       3";"       5";"       1";"       2";"      40";"       9";"      22";""
"1821";"3000   ";"70200";"1971JJ00";"       0";"       0";"       0";"";"       2";"       4";"       6";"       0";"       3";"      24";"      11";"      12";""
"1822";"3000   ";"70200";"1972JJ00";"       0";"       2";"       0";"";"       2";"       1";"      15";"       3";"       7";"      19";"       5";"      12";""
"1823";"3000   ";"70200";"1973JJ00";"       1";"       1";"       0";"";"       2";"       0";"      13";"       3";"       6";"      19";"       7";"       6";""
"1824";"3000   ";"70200";"1974JJ00";"       1";"       1";"       1";"";"       4";"       0";"       7";"       1";"       2";"      12";"       6";"       6";""
"1825";"3000   ";"70200";"1975JJ00";"       0";"       2";"       0";"";"       4";"       0";"       3";"       0";"       1";"      19";"       3";"      13";""
"1826";"3000   ";"70200";"1976JJ00";"       0";"       1";"       0";"";"       6";"       1";"       1";"       0";"       1";"      14";"       4";"       9";""
"1827";"3000   ";"70200";"1977JJ00";"       0";"       2";"       0";"";"       2";"       2";"       6";"       0";"       3";"      16";"       8";"       7";""
"1828";"3000   ";"70200";"1978JJ00";"       0";"       0";"       0";"";"       1";"       3";"       4";"       2";"       2";"      25";"       8";"      12";""
"1829";"3000   ";"70200";"1979JJ00";"       1";"       0";"       0";"       0";"       6";"       1";"       5";"       1";"       3";"      20";"       5";"      11";""
"1830";"3000   ";"70200";"1980JJ00";"       0";"       1";"       0";"       0";"       5";"       0";"       2";"       0";"       1";"      18";"       7";"       7";""
"1831";"3000   ";"70200";"1981JJ00";"       0";"       3";"       0";"       0";"       1";"       1";"       7";"       2";"       1";"      11";"       5";"       3";""
"1832";"3000   ";"70200";"1982JJ00";"       0";"       1";"       1";"       0";"       1";"       0";"       3";"       0";"       2";"      14";"       3";"       7";""
"1833";"3000   ";"70200";"1983JJ00";"       0";"       0";"       0";"       0";"       3";"       1";"       6";"       1";"       3";"      11";"       4";"       4";""
"1834";"3000   ";"70200";"1984JJ00";"       0";"       1";"       0";"       0";"       1";"       1";"       3";"       0";"       1";"       8";"       2";"       3";""
"1835";"3000   ";"70200";"1985JJ00";"       0";"       1";"       0";"       0";"       2";"       1";"       3";"       0";"       2";"       5";"       3";"       1";""
"1836";"3000   ";"70200";"1986JJ00";"       0";"       0";"       0";"       0";"       0";"       1";"       1";"       0";"       1";"      10";"       3";"       3";""
"1837";"3000   ";"70200";"1987JJ00";"       0";"       3";"       0";"       1";"       0";"       0";"       1";"       0";"       1";"       9";"       0";"       4";""
"1838";"3000   ";"70200";"1988JJ00";"       0";"       3";"       0";"       1";"       0";"       1";"       0";"       0";"       0";"      10";"       4";"       3";""
"1839";"3000   ";"70200";"1989JJ00";"       0";"       3";"       0";"       0";"       0";"       1";"       2";"       1";"       1";"       6";"       2";"       2";""
"1840";"3000   ";"70200";"1990JJ00";"       0";"       1";"       0";"       0";"       0";"       1";"       2";"       0";"       1";"       3";"       0";"       2";""
"1841";"3000   ";"70200";"1991JJ00";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       6";"       1";"       2";""
"1842";"3000   ";"70200";"1992JJ00";"       0";"       1";"       0";"       0";"       1";"       0";"       1";"       0";"       1";"      11";"       1";"       8";""
"1843";"3000   ";"70200";"1993JJ00";"       0";"       3";"       0";"       0";"       1";"       0";"       2";"       1";"       1";"      12";"       1";"       7";""
"1844";"3000   ";"70200";"1994JJ00";"       0";"       3";"       0";"       0";"       1";"       1";"       3";"       0";"       3";"       8";"       3";"       4";""
"1845";"3000   ";"70200";"1995JJ00";"       0";"       1";"       0";"       0";"       1";"       1";"       4";"       1";"       1";"      10";"       3";"       1";""
"1846";"3000   ";"70200";"1996JJ00";"       0";"       0";"       0";"       1";"       0";"       0";"       1";"       0";"       1";"       6";"       2";"       1";""
"1847";"3000   ";"70200";"1997JJ00";"       0";"       5";"       0";"       1";"       1";"       2";"       8";"       0";"       5";"       6";"       2";"       0";""
"1848";"3000   ";"70200";"1998JJ00";"       0";"       1";"       0";"       1";"       1";"       1";"       2";"       0";"       2";"      10";"       3";"       1";""
